H3K_0H	H3K_2H+PDGF	H3K_2H+PDGF+JQ1	H3K_24H+PDGF	H3K_2H+PDGF+JQ1	Log2(H3K_2H/H3K_0H)	Log2(H3K_24H/H3K_0H)	Log2(H3K_24H/H3K_2H)
Cdc37	9445.51	16418.53	17165.08	12656.81	10404.08	0.8	0.42	-0.38
Cdc37l1	11833.34	13251.58	16017.8	11588.93	10397.54	0.16	-0.03	-0.19
Cdc40	5437.59	6174.75	5411.19	5715.01	4311.9	0.18	0.07	-0.11
Cdc42	14658.56	19760.46	21975.41	14783.92	14827.5	0.43	0.01	-0.42
Cdc42bpa	23837.15	12096.24	12036.97	20176.08	19685.75	-0.98	-0.24	0.74
Cdc42bpb	21805.17	40777.36	53080.34	26743.04	21572.81	0.9	0.29	-0.61
Cdc42bpg	8248.24	8081.16	7872.77	12405.3	6031.22	-0.03	0.59	0.62
Cdc42ep1	21636.23	30983.3	34678.93	33967.76	19086.97	0.52	0.65	0.13
Cdc42ep2	31008.63	24695.49	24397.82	41324.51	38325.19	-0.33	0.41	0.74
Cdc42ep3	16176.59	18771.73	22250.38	15420.77	15566.18	0.21	-0.07	-0.28
Cdc42ep4	12576.05	22265.95	28736.37	21764.59	24116.65	0.82	0.79	-0.03
Cdc42ep5	13283.22	18648.13	18255.74	14340.97	10663.11	0.49	0.11	-0.38
Cdc42se1	22062.75	30629.44	35898.47	23372.19	19618.33	0.47	0.08	-0.39
Cdc42se2	7813.36	8714.25	6735.66	7299.92	4740.16	0.16	-0.1	-0.26
Cdc45	3427.26	3569.3	3037.8	2726.37	2728.84	0.06	-0.33	-0.39
Cdc5l	6069.83	9972.93	9524.99	7683.37	4932.04	0.72	0.34	-0.38
Cdc6	56763.17	78595.72	84740.27	74225.1	60259.18	0.47	0.39	-0.08
Cdc7	1859.13	3558.66	4435.7	1774.92	1291.72	0.94	-0.07	-1
Cdc73	6683.96	7239.71	8326.05	5586.55	6112.09	0.12	-0.26	-0.37
Cdca2	10335.42	9754.02	11421.03	9075.54	9534.77	-0.08	-0.19	-0.1
Cdca3	15337.48	21000.27	23042.92	18775.69	14779.54	0.45	0.29	-0.16
Cdca4	32429.89	53150	69089.25	45742.65	37663.01	0.71	0.5	-0.22
Cdca5	22360.97	28638.91	29522.99	24045.65	20935.78	0.36	0.1	-0.25
Cdca7	3586.03	4806.03	5435.09	4103.47	4021.56	0.42	0.19	-0.23
Cdca7l	1420.31	1764.25	2587.11	1470.97	755.91	0.31	0.05	-0.26
Cdca8	1923.46	2185.08	2207.57	1941.63	1548.46	0.18	0.01	-0.17
Cdh11	11631.95	10031.72	13927.31	12886.91	15586.92	-0.21	0.15	0.36
Cdh13	13861.37	22135.23	22427.58	21044.75	15986.3	0.68	0.6	-0.07
Cdh16	9511.64	9551.1	13581.12	11623.16	10164.47	0.01	0.29	0.28
Cdh3	10840.83	9541.97	10047.96	15231.4	7496.31	-0.18	0.49	0.67
Cdhr1	5907.78	17397.9	20804.24	11831.6	12147.63	1.56	1	-0.56
Cdip1	10164.94	11979.26	12883.13	8872.06	10377.99	0.24	-0.2	-0.43
Cdipt	19053.14	20904.54	22278.94	26153.79	23693.11	0.13	0.46	0.32
Cdk1	12070.1	8833.76	9420.47	18605.97	14625.63	-0.45	0.62	1.07
Cdk10	11769.65	12011.85	11218.82	16503.2	12330.17	0.03	0.49	0.46
Cdk11b	7118.27	8186.43	8568.04	8061.51	6268.55	0.2	0.18	-0.02
Cdk12	7332.01	10925.19	11601.94	6980.26	6724.59	0.58	-0.07	-0.65
Cdk13	5341.86	9043.44	9576.45	5829.47	4309.35	0.76	0.13	-0.63
Cdk14	34210.09	55743.97	75830.92	34060.14	48993.77	0.7	-0.01	-0.71
Cdk16	5631.2	9518.65	11317.77	6018.33	4851.57	0.76	0.1	-0.66
Cdk17	11347.5	17614.45	27428.32	14162.89	15708.56	0.63	0.32	-0.31
Cdk19	12864.46	15576.01	15326.7	14994.07	12993.56	0.28	0.22	-0.05
Cdk2	12960.83	16265.2	14993.68	13465	10941.09	0.33	0.06	-0.27
Cdk20	4746.63	8975.19	9371.21	5985.92	11050.88	0.92	0.33	-0.58
Cdk2ap1	8578.55	17001.98	21070.77	12613.02	9236.78	0.99	0.56	-0.43
Cdk2ap2	22458.37	20374.88	15983.38	26887.3	20596.33	-0.14	0.26	0.4
Cdk4	6338.09	13391.69	16985.6	8902.01	5442.53	1.08	0.49	-0.59
Cdk5	15165.64	31157.96	38466.91	22561.24	16724.69	1.04	0.57	-0.47
Cdk5r1	25635.1	39484.29	39612.39	28793.31	33925.66	0.62	0.17	-0.46
Cdk5rap1	13197.32	12029.57	12958.08	12229.57	11344.6	-0.13	-0.11	0.02
Cdk5rap2	3988.6	1987.9	2066.01	2602.7	2977.56	-1	-0.62	0.39
Cdk5rap3	9474.33	8037.15	8233.75	10764.28	9222.02	-0.24	0.18	0.42
Cdk6	29398.61	44015.38	68185.76	31443.67	35491.95	0.58	0.1	-0.49
Cdk8	2307.87	3739.33	4448.72	2941.68	3317.9	0.7	0.35	-0.35
Cdk9	12845.05	17959.89	19903.43	15362.29	10477.1	0.48	0.26	-0.23
Cdkl2	5205.98	5948.71	6381.06	4869.64	5186.93	0.19	-0.1	-0.29
Cdkl3	5451.14	5889.66	6843.78	6643.45	6749.29	0.11	0.29	0.17
Cdkn1a	32576.38	39224.52	38915.57	46629.75	42365.7	0.27	0.52	0.25
Cdkn1b	40416.91	38992.42	37926.32	40828.08	34586.54	-0.05	0.01	0.07
Cdkn1c	349.66	695.86	822.87	491.46	189.22	0.99	0.49	-0.5
Cdkn2a	8740.68	12563.2	14513.83	9754.16	15482.07	0.52	0.16	-0.37
Cdkn2aip	12834.22	12493.67	11434.53	13649.61	12724.37	-0.04	0.09	0.13
Cdkn2aipnl	17384.44	14473.82	16705.16	24439.38	13187.2	-0.26	0.49	0.76
Cdkn2b	13867.96	18059.04	21631.48	13796.09	22763.53	0.38	-0.01	-0.39
Cdkn2c	20388.39	20515.4	19264.77	18926.4	18165.47	0.01	-0.11	-0.12
Cdkn3	5927.8	5247.8	5641.23	5483.16	5752.69	-0.18	-0.11	0.06
Cdnf	4417.16	6525.2	6722.87	5975.73	4778.33	0.56	0.44	-0.13
Cdr2	15239.86	15025.27	15578.72	13093.22	12810.8	-0.02	-0.22	-0.2
Cds1	8486.79	12744.66	13720.37	7383.43	13181.7	0.59	-0.2	-0.79
Cds2	25417.12	38607.91	32061.22	31949.3	37478.65	0.6	0.33	-0.27
Cdt1	16705.14	31314.07	36561.56	25355.41	21058.24	0.91	0.6	-0.3
Cdv3	12445.1	19648.27	24937.09	14659.87	9773.62	0.66	0.24	-0.42
Cebpa	6563.04	13050.59	14523.05	8689.72	5538.66	0.99	0.4	-0.59
Cebpb	44418.05	57232.72	54396.97	61273.23	42136.8	0.37	0.46	0.1
Cebpd	20807.32	17135.34	19057.19	21757.63	17399.35	-0.28	0.06	0.34
Cebpg	10345.35	15816.04	18068.27	13127.72	11993.18	0.61	0.34	-0.27
Cebpz	6261.15	7921.51	9102.72	6698.54	5846.95	0.34	0.1	-0.24
Cecr5	10488.29	10581.12	13406.09	10462.44	8822.8	0.01	0	-0.02
Celf3	4602.07	5381.62	5702.22	4509.9	3161.71	0.23	-0.03	-0.25
Cenpa	5606.98	6601.89	8625.83	6164.73	5606.1	0.24	0.14	-0.1
Cenpc	3323.93	3984.49	4983.56	3081.08	3408.4	0.26	-0.11	-0.37
Cenpf	6936.83	7521.81	8316.58	6860.87	7489.74	0.12	-0.02	-0.13
Cenpi	2727.87	2329.69	2244.98	2418.27	2835.91	-0.23	-0.17	0.05
Cenpj	17932.65	15252.48	15270.79	19593.91	25521.61	-0.23	0.13	0.36
Cenpk	2197.91	2273.71	2492.1	1972.65	1436.56	0.05	-0.16	-0.2
Cenpl	6605.49	8342.94	7640.45	5973.11	7113.23	0.34	-0.15	-0.48
Cenpm	3928.24	5189.72	5172.26	5795.41	2705.31	0.4	0.56	0.16
Cenpn	8705.04	11473.63	13793.65	10904.35	9377.94	0.4	0.32	-0.07
Cenpq	1873.29	1733.91	1364.07	1110.6	1273.85	-0.11	-0.75	-0.64
Cenpt	10348.49	10439.35	8259.79	9371.46	14172.99	0.01	-0.14	-0.16
Cenpu	10559.07	12770.61	12479.04	9717.03	13722.91	0.27	-0.12	-0.39
Cenpw	917.72	849.3	917.81	795.29	582.2	-0.11	-0.21	-0.09
Cep104	4064.44	6872.21	8507.53	4510.18	3857.26	0.76	0.15	-0.61
Cep112	3635.88	3933.57	4613.5	3074.66	3022.16	0.11	-0.24	-0.36
Cep120	17395.81	14362.23	15169.25	13466.38	21083.77	-0.28	-0.37	-0.09
Cep131	3050.64	4719.1	3978.73	4065.69	2019.98	0.63	0.41	-0.22
Cep162	9647.57	3921.32	3426.56	5280.62	6163.52	-1.3	-0.87	0.43
Cep19	6691.72	6699.32	6241.16	6497.45	5065.29	0	-0.04	-0.04
Cep290	2069.96	3313.35	3822.02	1841.07	1853.87	0.68	-0.17	-0.85
Cep295	2369.2	2139.54	2106.8	1731.41	2016.2	-0.15	-0.45	-0.31
Cep44	8513.86	6244.76	6178.97	6368.91	6287.16	-0.45	-0.42	0.03
Cep55	110419.53	134098.97	176003.87	91982.89	125146.24	0.28	-0.26	-0.54
Cep57	9559.28	17315.79	17267.98	15040.51	18954.62	0.86	0.65	-0.2
Cep57l1	7527.38	6840.04	7443.87	6492	4627.37	-0.14	-0.21	-0.08
Cep63	47084.5	32879.62	36245.92	35318.37	22086.8	-0.52	-0.41	0.1
Cep76	8827	11148.32	12948.1	9230.08	8239.4	0.34	0.06	-0.27
Cep78	14427.32	14184.27	12365.95	15739.49	11057.26	-0.02	0.13	0.15
Cep83	2272.08	3498.72	4014.29	2211.05	1550.14	0.62	-0.04	-0.66
Cep85	7844.05	11785.71	10406.78	13331.68	9020.82	0.59	0.77	0.18
Cep85l	9959.07	9424.55	11065.81	7726.55	11092.19	-0.08	-0.37	-0.29
Cep89	8600.1	9032.96	10799.07	10454.39	7450.65	0.07	0.28	0.21
Cep95	10705.53	13311.88	12041.6	11905.94	7115.68	0.31	0.15	-0.16
Cep97	4038.11	3075.42	2811.57	3412.22	3487.64	-0.39	-0.24	0.15
Cept1	3561.68	7201.4	7833.17	3901.41	4418.19	1.02	0.13	-0.88
Cerk	20592.11	26942.31	33243.75	27429.57	28961.58	0.39	0.41	0.03
Cers2	15345.5	23560.23	32022.36	18561.91	24784.26	0.62	0.27	-0.34
Cers4	4142.06	4801.85	3998.03	4100.44	2580.19	0.21	-0.01	-0.23
Cers5	30337.39	33124.55	39863.59	31168.78	31794.25	0.13	0.04	-0.09
Cetn4	13203.08	39472.13	54452.01	13894.24	26711.4	1.58	0.07	-1.51
Cfap126	21818.26	22902.75	19311.95	24426.54	22309.96	0.07	0.16	0.09
Cfap20	12110	15574.54	17198.34	15090.54	14976.87	0.36	0.32	-0.05
Cfap52	2913.22	4454.45	4416.81	2614.38	2836.45	0.61	-0.16	-0.77
Cfap97	6200.34	9894.35	8969.53	7498.16	5741.52	0.67	0.27	-0.4
Cfdp1	3873.19	6192.18	6782.12	5201.74	5223.28	0.68	0.43	-0.25
Cfl1	91075.38	143190.74	177905.38	107887.14	94252.64	0.65	0.24	-0.41
Cfl2	7211.72	7115.34	6550.61	7140.12	5718.2	-0.02	-0.01	0.01
Cflar	37730.11	77969.41	91683.7	45747.54	52883.82	1.05	0.28	-0.77
Cggbp1	6488.33	8920.27	8078.33	6886.15	4021.85	0.46	0.09	-0.37
Cgref1	11681.24	15740.36	17129.08	15282.34	14556.91	0.43	0.39	-0.04
Cgrrf1	21141.39	23873.81	29325.84	22456.62	17600.4	0.18	0.09	-0.09
Chac1	3640.17	7116.83	9276.45	5412.07	4254.66	0.97	0.57	-0.4
Chac2	3265.08	2768.53	2695.92	3065.13	3309.99	-0.24	-0.09	0.15
Chaf1b	2104.95	3154.97	2670.61	1917.45	1522.17	0.58	-0.13	-0.72
Champ1	1406.34	2264.87	2826.81	1752.83	1461.81	0.69	0.32	-0.37
Chchd1	14598.5	21983.37	26328.43	17274.5	13317.19	0.59	0.24	-0.35
Chchd3	3584.02	4765.55	6098.81	3493.99	4864.91	0.41	-0.04	-0.45
Chchd4	25000.3	21284.13	22939.9	30320.01	19383.18	-0.23	0.28	0.51
Chchd5	12214.01	17302.15	20508.28	13304.08	23253.1	0.5	0.12	-0.38
Chchd6	3352.71	3212.24	4583.66	3858.69	3093.62	-0.06	0.2	0.26
Chd1	3910.53	6637.72	7243.42	4520.93	3391.04	0.76	0.21	-0.55
Chd2	57454.23	44615.98	46672.48	40443.05	69048.27	-0.36	-0.51	-0.14
Chd6	4807.29	9380.17	12239.25	6276.75	5578.55	0.96	0.38	-0.58
Chd8	9895.61	9412.83	9758.8	8566.85	10099.24	-0.07	-0.21	-0.14
Chek1	3269.61	3300.34	3542.92	3563.21	2740.63	0.01	0.12	0.11
Chek2	19383.44	10449.25	10092.32	17276.29	12664.69	-0.89	-0.17	0.73
Cherp	9047.87	12779.19	14183.58	9396.41	8623.3	0.5	0.05	-0.44
Chfr	12494.68	10913.84	14254.84	8494.53	8473.31	-0.2	-0.56	-0.36
Chic2	7194.89	11987.94	17960.79	5752.03	9507.09	0.74	-0.32	-1.06
Chka	11180.24	13191.5	13123.35	10988.47	9696.24	0.24	-0.02	-0.26
Chkb	4836.48	7004.56	7284.03	5877.09	4195.24	0.53	0.28	-0.25
Chm	1233.8	1553.36	1999.66	959.66	1774.76	0.33	-0.36	-0.69
Chmp1a	11451.36	10976.39	11518.62	16160.24	11826.37	-0.06	0.5	0.56
Chmp1b	16398.09	10231.92	10026.98	10063.73	14232.35	-0.68	-0.7	-0.02
Chmp2a	6215.28	8035.74	7446.89	7617.45	6676.9	0.37	0.29	-0.08
Chmp3	6880.51	8579.55	11244.94	6331.39	6420.81	0.32	-0.12	-0.44
Chmp4bl1	7122.76	11125.43	10922.98	11242.55	9509.7	0.64	0.66	0.02
Chmp4c	7326.92	11048.3	13623.66	7401.19	6835.2	0.59	0.01	-0.58
Chmp5	7964.49	11833.17	11002.33	7347.23	6756.37	0.57	-0.12	-0.69
Chmp6	9710.53	19459.26	23230.19	14734.79	10186.05	1	0.6	-0.4
Chmp7	11653.01	20146.95	22324.46	13257.14	11521.58	0.79	0.19	-0.6
Chordc1	6674.86	9136.26	11700.52	7303.34	9952.96	0.45	0.13	-0.32
Chp1	4756.54	4609.68	3976.79	4187.32	4276.74	-0.05	-0.18	-0.14
Chpf	10083.97	13596.66	17274.82	10837.79	9486.88	0.43	0.1	-0.33
Chpf2	19553.22	25976.31	29352.92	25868.27	16099.81	0.41	0.4	-0.01
Chpt1	1567.32	2983.91	3573.57	2413.33	1595.19	0.93	0.62	-0.31
Chrac1	5429.78	5846.81	7141.3	4789.14	5628.22	0.11	-0.18	-0.29
Chrd	6828.95	11911.7	14264.3	7846.84	5860.82	0.8	0.2	-0.6
Chrnb1	11164.15	12734.04	11264.2	12877.71	7688.11	0.19	0.21	0.02
Chst10	1291.7	3047.67	3198.97	1827.96	1428.44	1.24	0.5	-0.74
Chst11	12041.99	16135.93	19727.79	16687.85	12080.31	0.42	0.47	0.05
Chst14	9047.43	16572.42	17713.12	12525.84	7096.94	0.87	0.47	-0.4
Chsy1	13372.27	16313.4	19039.97	12911.22	11279.22	0.29	-0.05	-0.34
Chtf18	8212.37	14594.22	16381.78	10532.89	11341.03	0.83	0.36	-0.47
Chtf8	22017.15	19985.21	20452.54	19243.7	16551.49	-0.14	-0.19	-0.05
Chuk	8449	12038.33	12239.68	8017.66	7309.35	0.51	-0.08	-0.59
Churc1	2847.4	3984	4995.14	3415.69	3095.63	0.48	0.26	-0.22
Ciao1	17462.21	13634.39	14354.33	14779.68	12049.56	-0.36	-0.24	0.12
Ciapin1	6941.04	11631.95	12388.46	11228.38	8020.9	0.74	0.69	-0.05
Ciart	8057.82	7627.23	7535.25	8073.32	6336.75	-0.08	0	0.08
Cib1	8341.89	12238.6	14643.85	12288.26	9896.27	0.55	0.56	0.01
Cib2	6891.03	13236.15	12552.11	8241.76	5354.81	0.94	0.26	-0.68
Cidea	16230.49	26502.66	27284.85	25390.47	29939.32	0.71	0.65	-0.06
Ciita	4650.64	5630.33	5315.51	5433.2	5321.8	0.28	0.22	-0.05
Cinp	18496.5	20106.07	19469.29	25816.38	11790.99	0.12	0.48	0.36
Cipc	52194.09	55757.02	58306.75	60369.42	68205.08	0.1	0.21	0.11
Cir1	6583	5064.79	6366.46	7636.22	7568.25	-0.38	0.21	0.59
Cirbp	61574.95	86594.16	80021.72	79833.42	48147.89	0.49	0.37	-0.12
Cisd1	4095.11	6828.72	8705.97	4138.56	4603.98	0.74	0.02	-0.72
Cisd2	9631	14169.76	15232.01	8188.01	8980.57	0.56	-0.23	-0.79
Cisd3	23711.9	38876.06	38487.04	30730.18	23764.86	0.71	0.37	-0.34
Cish	13171.3	24454.21	25711.86	18461.11	21856	0.89	0.49	-0.41
Cit	1573.16	1570.63	1339.02	2236.92	805.88	0	0.51	0.51
Cited1	522.42	2029.92	3203.94	929.17	681.57	1.96	0.83	-1.13
Cited2	12599.01	14680.41	18730.61	14994.65	16167.64	0.22	0.25	0.03
Cited4	2464.21	3502.69	3865.1	1633.92	1275.07	0.51	-0.59	-1.1
Ciz1	11410.16	17059.99	20848.38	17546.61	14076.68	0.58	0.62	0.04
Ckap2	6746.9	5528.51	5274.1	8587.4	5748.24	-0.29	0.35	0.64
Ckap4	12729.33	18191.01	19249.03	17453.72	11250.98	0.52	0.46	-0.06
Ckb	8686.77	10788.44	13167.87	10594.46	7948.89	0.31	0.29	-0.03
Cklf	1042.19	971.6	1179.14	940.1	1060.96	-0.1	-0.15	-0.05
Cks1b	35082.6	50757.47	57860.5	39801.56	33384.79	0.53	0.18	-0.35
Cks2	4923.13	5304.69	4659.71	3746.19	2974.98	0.11	-0.39	-0.5
Clasp2	3314.73	2364.37	2534.98	2713.79	4217.15	-0.49	-0.29	0.2
Clasrp	17777.81	20194.34	20361.5	22287.17	11129.05	0.18	0.33	0.14
Clcc1	2749.29	2321.03	2395.63	2309.83	2126.89	-0.24	-0.25	-0.01
Clcf1	58058.57	93021.49	111935.45	71243	73306.17	0.68	0.3	-0.38
Clcn3	7475.17	5526.31	5725.94	5770.65	5909.7	-0.44	-0.37	0.06
Clcn4	342.05	273.07	163.59	217.28	282.39	-0.32	-0.65	-0.33
Clcn5	672.94	729.95	714.3	612.79	1389.56	0.12	-0.14	-0.25
Clcn6	11042.6	14909.46	16532.24	14095.89	13981.04	0.43	0.35	-0.08
Clcn7	21626.07	15106.37	14597.03	17647.16	10442.81	-0.52	-0.29	0.22
Cldn15	15019.09	20566.46	26149.59	15710.83	11490.63	0.45	0.06	-0.39
Cldn22	14206.76	8608.05	10547.36	11961.28	12253.23	-0.72	-0.25	0.47
Cldnd1	1713.39	2625.06	2922.43	1737.58	1230.79	0.62	0.02	-0.6
Clec2d	8493.75	9203.77	11357.21	9251.81	12173.55	0.12	0.12	0.01
Clec2dl1	3093.65	4825.37	6384.98	4483.16	9108.71	0.64	0.54	-0.11
Clec2g	104426.21	95277.88	93963.45	76802.35	151345.58	-0.13	-0.44	-0.31
Clhc1	7671.37	9493.21	10132.13	7542.55	6991.65	0.31	-0.02	-0.33
Clic1	14660.13	22727.91	28888.29	20888.39	21212.71	0.63	0.51	-0.12
Clic2	1486.55	800.17	953.46	1910.28	2759.71	-0.89	0.36	1.26
Clic4	90207.44	98088.31	96765.85	100036.68	76000.21	0.12	0.15	0.03
Clint1	12974.74	8201.24	11970.45	6874.95	17528.95	-0.66	-0.92	-0.25
Clip1	23087.97	18251.73	16796.63	24316.95	15048.06	-0.34	0.07	0.41
Clip2	14139.69	27049.7	28953.1	16746.49	18865.47	0.94	0.24	-0.69
Clk1	10246.55	10367.08	9944.19	9515.68	8389.67	0.02	-0.11	-0.12
Clk2	14556.41	13511.09	14503.2	13187.72	10640.35	-0.11	-0.14	-0.03
Clk3	5184.55	11947.13	14725.55	6547.64	5064.96	1.2	0.34	-0.87
Clk4	5446.9	8711.53	9493.28	6122.47	4978.13	0.68	0.17	-0.51
Clmn	8597.4	4037.13	2899.2	6439.31	2685.86	-1.09	-0.42	0.67
Cln3	26253.66	18785.94	21417.71	25894.46	34100.77	-0.48	-0.02	0.46
Cln5	2404.42	2381.32	2837.12	2019.73	2245.2	-0.01	-0.25	-0.24
Cln6	14461.9	12050.89	13365.36	14114.68	11520.88	-0.26	-0.04	0.23
Cln8	7532.97	10328.76	11047.53	8561.13	5110.53	0.46	0.18	-0.27
Clns1a	5284.31	6065.62	6930.26	5641.79	5699.11	0.2	0.09	-0.1
Clp1	16679.17	19089.98	21245.39	15108.29	13011.03	0.19	-0.14	-0.34
Clpb	1137.01	1581.92	1776.5	1191.15	1173.35	0.48	0.07	-0.41
Clptm1	7478.71	10783.85	11138.2	7650.56	5381.11	0.53	0.03	-0.5
Clptm1l	1698.7	3959.89	6000.93	1686.48	2120.76	1.22	-0.01	-1.23
Clpx	9340.28	7317.68	7650.76	8372.64	6996.76	-0.35	-0.16	0.19
Clspn	2381.39	2449.99	2755.67	2693.58	2167.78	0.04	0.18	0.14
Clstn1	19819.96	30860.55	36264.25	23751.23	17748.19	0.64	0.26	-0.38
Clta	30888.42	39073.91	40974.64	37884.29	33664.5	0.34	0.29	-0.04
Cltb	5959.03	9434.93	11267.38	6325.43	4426.59	0.66	0.09	-0.58
Cltc	20916.9	19867.6	22123.92	16076.23	20738.53	-0.07	-0.38	-0.31
Cluap1	4938.01	7619.47	8462.38	4874.7	7464.16	0.63	-0.02	-0.64
Cluh	8292.27	11879.86	13669.91	11836.06	7730.83	0.52	0.51	-0.01
Clybl	1012.3	768.8	837	1482	536.1	-0.4	0.55	0.95
Cmas	7708.1	7897.13	9755.25	6188.05	8072.16	0.03	-0.32	-0.35
Cmc1	1537.54	2084.18	2051.1	1768.55	1520.48	0.44	0.2	-0.24
Cmip	5887.3	12791.06	12985.79	9357.12	5319.92	1.12	0.67	-0.45
Cmpk1	10390.17	13271.58	15150.22	9880.31	8658.37	0.35	-0.07	-0.43
Cmpk2	488.12	1068.28	1587.02	639.27	604.02	1.13	0.39	-0.74
Cmss1	41004.13	27917.61	26711.61	28845.37	45250.29	-0.55	-0.51	0.05
Cmtm3	8779.62	10813.15	14350.07	13005.31	15582.47	0.3	0.57	0.27
Cmtm4	12745.17	12604.75	15279.7	17153.14	20187.62	-0.02	0.43	0.44
Cmtm6	9124.25	11407.6	11808.46	10877.86	8353.7	0.32	0.25	-0.07
Cmtm7	10039.5	11676.8	14181.37	9396.99	7606.08	0.22	-0.1	-0.31
Cmtr1	10867.74	19796.91	21239.15	13051.65	11293.02	0.87	0.26	-0.6
Cmtr2	1963.24	2228.9	2425.61	1811.64	1698.13	0.18	-0.12	-0.3
Cnbd2	7585.19	11783.51	13116.99	8287.83	8282.61	0.64	0.13	-0.51
Cnbp	18617.65	23675.84	33816.15	19820	22388.97	0.35	0.09	-0.26
Cndp2	10990.41	7712.75	8154.97	8609.42	7443.01	-0.51	-0.35	0.16
Cnep1r1	8014.39	9589.11	8582.1	7407.99	5498.95	0.26	-0.11	-0.37
Cnih1	8726.7	9920.18	11902.42	8424.86	9614.16	0.18	-0.05	-0.24
Cnih2	18484.52	27899.58	31363.65	25465.33	17647.67	0.59	0.46	-0.13
Cnih4	3527.8	5330.16	7247.83	3211.67	3244.77	0.6	-0.14	-0.73
Cnksr1	2931.89	6277.57	7293.58	4111.82	3544.42	1.1	0.49	-0.61
Cnksr3	28526.09	29091.09	31560.83	27774.91	27951.76	0.03	-0.04	-0.07
Cnn1	5609.26	6735	6453.73	5419.31	4607.91	0.26	-0.05	-0.31
Cnn3	20909.26	30841.71	31297.56	27523.46	23892.05	0.56	0.4	-0.16
Cnnm2	3588.74	3874.44	4260.89	4331.17	2451.62	0.11	0.27	0.16
Cnnm3	8950.06	15134.35	16267.3	11936.38	6933.49	0.76	0.42	-0.34
Cnnm4	2152.49	2841.26	3936.01	2685.69	1775.1	0.4	0.32	-0.08
Cnot1	9171.61	13521.16	15937.6	10016.76	7957.16	0.56	0.13	-0.43
Cnot10	2541.94	3466.86	3479.77	2737.36	2460.5	0.45	0.11	-0.34
Cnot11	13790.09	34515.18	41659.77	15337.3	25606.49	1.32	0.15	-1.17
Cnot3	12213.98	20510.41	20764.75	14198.75	9621.11	0.75	0.22	-0.53
Cnot4	7077.13	6457.15	5698.92	5435.67	3709.96	-0.13	-0.38	-0.25
Cnot6l	9722.65	14443.96	16677.35	10773.43	9518.89	0.57	0.15	-0.42
Cnot7	4186.11	8075.46	9368.04	5061.71	3560.82	0.95	0.27	-0.67
Cnot8	8900.7	10168.43	11236.64	10690.52	9186.74	0.19	0.26	0.07
Cnp	6095.66	9326.38	9311.86	7105.61	6938.39	0.61	0.22	-0.39
Cnppd1	10004.47	11168.37	13216.62	10195.41	9330.31	0.16	0.03	-0.13
Cnpy2	10063.43	12301.77	12628.02	9173.34	10395.94	0.29	-0.13	-0.42
Cnpy3	18606.86	21085.3	21385.2	22318.68	16680.71	0.18	0.26	0.08
Cnpy4	8147.88	8390.78	8601.56	7740.01	8335.78	0.04	-0.07	-0.12
Cntd1	13032.81	17501.05	23684.56	17540.42	19198.77	0.43	0.43	0
Cntf	20987.7	13355.82	12511.31	11148.91	13887.31	-0.65	-0.91	-0.26
Cntrob	37289.79	41913.06	46568.87	43371.51	34099.41	0.17	0.22	0.05
Coa3	13174.75	17742.57	23846.06	17650.77	19473.56	0.43	0.42	-0.01
Coa4	3121.17	3210.76	3563.29	3266.97	3889.65	0.04	0.07	0.03
Coa5	3592.07	5964.33	6402.25	3463.07	3305.83	0.73	-0.05	-0.78
Coa7	11522.21	10207.4	9260.28	12916.61	11251.98	-0.17	0.16	0.34
Coasy	36787.44	33385.84	35121.68	49431.48	34744.28	-0.14	0.43	0.57
Cog1	13219.07	18302.77	20058.44	14031.35	12318.07	0.47	0.09	-0.38
Cog2	1994.19	3173.06	3964.09	2172.75	1853.72	0.67	0.12	-0.55
Cog3	3352.12	6014.54	8504.01	3036.93	3833.1	0.84	-0.14	-0.99
Cog4	16484.06	15003.8	15671.75	10588.95	13313.09	-0.14	-0.64	-0.5
Cog6	32226.86	35838.74	40071.72	28752.46	48368.24	0.15	-0.16	-0.32
Cog7	3007.9	4486.4	4251.5	2579.28	2754.37	0.58	-0.22	-0.8
Cog8	9733.1	15884.16	19437.93	10830.21	10351.29	0.71	0.15	-0.55
Coil	13986.59	12766.51	13930.03	14309.51	13871.25	-0.13	0.03	0.16
Col11a1	5776	2089.56	2997.82	3051.27	4425.45	-1.47	-0.92	0.55
Col15a1	4362.78	12220.37	12293.28	8819.38	8492.07	1.49	1.02	-0.47
Col16a1	7506.69	14775.89	16400.19	12620.96	8840.8	0.98	0.75	-0.23
Col18a1	47561.72	88503.55	111831.14	65858.15	70596.87	0.9	0.47	-0.43
Col1a1	117198.42	118212.28	124578.23	129685.55	98676.87	0.01	0.15	0.13
Col1a2	33562.33	24238.31	23130.54	33646.68	26400.56	-0.47	0	0.47
Col27a1	5438.98	6589.36	6405.73	9518.91	3341.8	0.28	0.81	0.53
Col3a1	65077.41	29174.91	29847.3	51414.03	86910.06	-1.16	-0.34	0.82
Col4a1	41397.15	46905.84	58958.9	40422.67	43341.19	0.18	-0.03	-0.21
Col4a3bp	9021.81	12158.72	14728.96	7855.77	8725.89	0.43	-0.2	-0.63
Col5a1	50600.73	75485	93040.85	65766.51	46927.86	0.58	0.38	-0.2
Col5a2	28425.95	17109.58	19165.48	20919.36	30199.33	-0.73	-0.44	0.29
Col6a2	7458.24	19461.79	24570.75	11111.39	7470.52	1.38	0.58	-0.81
