H3K_0H	H3K_2H+PDGF	H3K_2H+PDGF+JQ1	H3K_24H+PDGF	H3K_2H+PDGF+JQ1	Log2(H3K_2H/H3K_0H)	Log2(H3K_24H/H3K_0H)	Log2(H3K_24H/H3K_2H)
Acadl	21600.39	24671.8	21027.47	16533.36	13936.06	0.19	-0.39	-0.58
Acadm	5140.54	4746.4	5056.16	4735.89	5179.54	-0.12	-0.12	0
Acads	5159.38	6259.9	6199.07	6263.63	3952.57	0.28	0.28	0
Acadsb	7578.28	6503.05	6929.15	7519.68	6159.49	-0.22	-0.01	0.21
Acadvl	25214.89	31738.14	36448.64	29382	20692.14	0.33	0.22	-0.11
Acap2	13710.46	15857.16	16393.04	15047.69	15599.72	0.21	0.13	-0.08
Acap3	12444.83	15729.58	17216.52	16103.64	8883.56	0.34	0.37	0.03
Acat1	1963.49	2425.15	2804.97	2048	1154.92	0.3	0.06	-0.24
Acat2	6724.03	7360.71	6468	4915.99	3926.34	0.13	-0.45	-0.58
Acbd3	8325.74	11050.94	11311.59	10210.41	7390.44	0.41	0.29	-0.11
Acbd4	49659.82	54395.81	61964.04	54064.29	47227.41	0.13	0.12	-0.01
Acbd5	8522.48	7028.54	7815.95	7335.09	8314.53	-0.28	-0.22	0.06
Acbd6	9533.76	12796.41	14522.22	12793.4	14192.33	0.42	0.42	0
Accs	14293.96	7549.78	7746.79	15212.48	7046.14	-0.92	0.09	1.01
Acd	4758	5245.01	4660.14	4440.12	3724.35	0.14	-0.1	-0.24
Ace	7135.48	4466.64	4745.84	12559.7	6741.54	-0.68	0.82	1.49
Acer2	6455.75	9901.48	11219.15	7070.16	8014.28	0.62	0.13	-0.49
Ache	13095.48	19241.89	20441.77	15907.17	13022.82	0.56	0.28	-0.27
Acin1	14252.36	21415.76	27383.11	17110.98	14398.95	0.59	0.26	-0.32
Ackr3	38234.45	22296.3	23367.35	34352.74	23923.53	-0.78	-0.15	0.62
Acly	7618.19	12240.9	10693.45	7893.88	5065.13	0.68	0.05	-0.63
Aco1	6974.61	7097.33	7133.29	5354	4521.27	0.03	-0.38	-0.41
Aco2	15657.05	16383.8	15109.68	16069.17	15617.83	0.07	0.04	-0.03
Acot13	7053.89	9363.31	9947.33	7556.33	7291.9	0.41	0.1	-0.31
Acot2	6795.18	12418.29	14376.3	6514.7	7097.44	0.87	-0.06	-0.93
Acot3	3487.18	4993.02	6774.36	4830.28	3581.2	0.52	0.47	-0.05
Acot7	6788.05	17813.39	18528.11	14297.85	10778.23	1.39	1.07	-0.32
Acot8	23166.22	25616.21	29379.77	26840.94	19022.77	0.15	0.21	0.07
