NM_001024991	Fahd1
NM_001025023	Ndc1
NM_001107839	Rc3h2
NM_017008	Gapdh
NM_001108004	Dnajb5
NM_138532	Nme7
NM_001310047	Tssc4
NM_022707	Pln
NM_001271134	Fam168b
NM_030995	Map1a
NM_001107520	Herc2
NM_199270	Bre
NM_001142371	Pnpt1
NM_145677	Slc25a25
NM_001007634	Pelo
NM_001109203	Prrg4
NM_001034835	Kansl3
NM_019251	Bet1
NM_001267055	Cdc26
NM_001109225	Zfp800
NM_031138	Ube2b
NM_001106187	Sf3b3
NM_001169115	Trappc11
NM_031667	Syt11
NM_001108094	Krr1
NM_001013153	Ubtd1
NM_001127373	Adnp2
NM_001107853	Luc7l2
NM_001024747	Phf10
NM_001107280	Pcdh20
NM_173337	Camk2n1
NM_001005551	Car5b
NM_022208	Gtf2a1
NM_001271345	E2f4
NM_019196	Mpdz
NM_022619	Slc7a2
NM_001173334	Slc25a32
NM_001012348	Pced1a
NM_017274	Gpam
NM_001006966	Eci2
NM_001107118	Rnf6
NM_001106596	Mrpl35
NM_001013990	Srd5a3
NM_001008358	Tmem106c
NM_001001720	Vmac
NM_001008348	Frmd8
NM_001106335	Incenp
NM_001014239	Fbxo25
NM_001004269	Jam3
NM_001011965	Stom
NM_001114939	RGD1563348
NM_001108369	Chchd1
NM_001025686	Sec22b
NM_001130559	Nipal2
NM_020083	Ralgapa1
NM_001106345	Lage3
NM_001012174	Fkbp5
NM_001108197	Taf8
NR_037356	Mir3568
NM_001270972	Zfr
NM_053350	Agps
NM_001034994	Rwdd4
NM_031675	Actn4
NM_013067	Rpn1
NM_001106740	Ppp2r5e
NM_001107153	Usp30
NM_001014247	Lzts2
NM_001109473	Gtf3c4
NM_001013933	Ube2a
NM_031709	Rps12
NM_053582	Tinagl1
NM_019387	Hgs
NM_001130999	Ap4s1
NM_053899	Cgrrf1
NM_031643	Map2k1
NM_001044259	Fbxo31
NM_001106364	Actr1a
NM_133585	Opa1
NM_001108081	Actr6
